Lead time (d),Feature,Mean_abs_SHAP_raw
1,Qz,0.0008040049485829364
1,Pz,0.00022143465711169726
1,Tz,0.0003752830131363006
1,Ez,0.00035973273644664567
1,Sz,0.0003844895552443212
1,Pi,0.0016769495842363764
1,Ti,0.00019354501503923021
1,Ei,0.0005246481369770558
1,Si,8.027115333776507e-05
3,Qz,0.0008245071727070244
3,Pz,0.0001208715376528625
3,Tz,0.0004061793930464458
3,Ez,0.0002924023929444718
3,Sz,0.0004439135678138188
3,Pi,0.0018484330408479555
3,Ti,0.00031642700150165897
3,Ei,0.00038511759049490284
3,Si,6.642500165917376e-05
7,Qz,0.0007497064076298933
7,Pz,0.00035804975593586397
7,Tz,0.0005517090923986398
7,Ez,0.00031165954775553634
7,Sz,0.00044776150667109004
7,Pi,0.0009281948673448296
7,Ti,0.00039081771599747524
7,Ei,0.0003551007813117483
7,Si,2.8172155769325258e-05
15,Qz,0.0004312529751404559
15,Pz,0.0002835239458350833
15,Tz,0.0004958308174647373
15,Ez,0.0003546797134517461
15,Sz,0.00043112921487647413
15,Pi,0.0005635515369112617
15,Ti,0.00030013250396781685
15,Ei,0.0004164848683540445
15,Si,2.2729539325733543e-05
